recent_device_change,recent_new_device,recent_password_reset,recent_password_change,recent_sim_change,recent_email_change,recent_beneficiary_added,recent_beneficiary_modified,failed_login_count,new_location,unusual_login_time,transaction_velocity,large_incoming_transfer,large_outgoing_transfer,rapid_transactions,unusual_transaction_amount,multiple_security_changes,time_between_security_events,profile_change,total_recent_events,archetype,label,target_severity
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,0.4624402666666666,0.3333333333333333,0.0,0.0,0.8,medium,0,76.98211690302702
1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.3333333333333333,0.8722222222222222,0.0,1.0,compromised,1,96.60456010400863
1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6666666666666667,0.8611111111111112,0.0,1.1,compromised,1,99.6379156992205
1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.6666666666666667,0.9055555555555556,0.0,1.0,compromised,1,100.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.1961696,0.0,0.0,0.0,0.6,normal,0,23.702405482747547
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.03913853333333333,0.3333333333333333,0.0,0.0,0.6,innocent_security_change,0,28.6845559856342
1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6666666666666667,0.8611111111111112,0.0,1.0,compromised,1,100.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,0.43352240000000003,0.3333333333333333,0.0,0.0,0.8,medium,0,74.74861510918855
1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6666666666666667,0.85,0.0,1.0,compromised,1,96.8240849648581
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.8,medium,0,55.76515793285199
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,normal,0,1.7086399786766404
1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.9222222222222223,0.0,0.6,compromised,1,91.56273944505624
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,normal,0,4.17594778244264
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,0.41149973333333334,0.3333333333333333,0.0,0.0,0.8,medium,0,70.77671052613512
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,0.6207394666666667,0.0,0.0,0.0,0.6,medium,0,46.804872804164155
1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.6666666666666667,0.8888888888888888,0.0,1.1,compromised,1,96.40238688026461
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.4,compromised,1,54.60970219500756
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,0.41207773333333336,0.3333333333333333,0.0,0.0,0.7,medium,0,76.16920510522847
1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.6666666666666667,0.9333333333333333,0.0,1.0,compromised,1,95.55040910786036
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,0.4593189333333333,0.0,0.0,0.0,0.8,medium,0,41.462756789602075
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.16101213333333333,0.0,0.0,1.0,0.5,normal,0,22.71090237000893
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,normal,0,9.334874744646655
1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0,1.0,1.6666666666666667,0.8944444444444445,0.0,0.9,compromised,1,97.23447827710051
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.05744573333333334,0.0,0.0,0.0,0.6,normal,0,7.087166594505526
1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.6666666666666667,0.85,0.0,1.0,compromised,1,96.40602972072698
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,normal,0,3.144490684982461
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.04217066666666667,0.0,0.0,0.0,0.6,normal,0,7.572809951232508
1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.6666666666666667,0.8777777777777778,0.0,1.0,compromised,1,98.72420341988176
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,normal,0,2.069445378730543
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.11950759999999999,0.3333333333333333,0.0,0.0,0.6,innocent_security_change,0,29.362688038670502
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.14048573333333333,0.3333333333333333,0.0,0.0,0.6,innocent_security_change,0,37.12966143959372
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,normal,0,17.536663004978962
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,0.7900270666666667,0.0,0.0,0.0,0.5,medium,0,51.924270793036776
